OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-4041,2022-053AR,2024-08-16T03:56:17.841696,15.08829326,0.0001375,53.2159,190.107,91.8435,268.2714,0,U,52695,999,12496,0.00017478,2.494e-05,0
STARLINK-4025,2022-053AS,2024-08-16T04:20:50.274816,15.08835586,0.0001243,53.2145,185.2355,94.7498,265.3636,0,U,52696,999,12502,0.00029611,4.427e-05,0
STARLINK-4018,2022-053AT,2024-08-16T04:34:47.867520,15.08833858,0.0001524,53.2163,190.1941,91.4715,268.6451,0,U,52697,999,12496,0.0001881,2.706e-05,0
STARLINK-4030,2022-053AU,2024-08-16T04:49:18.604992,15.0885573,0.0001231,53.2147,190.1355,91.6673,268.446,0,U,52698,999,12495,0.00060933,9.427e-05,0
STARLINK-3987,2022-053AV,2024-08-16T04:18:51.190560,15.08833278,0.0001318,53.2157,180.2694,84.7272,275.387,0,U,52699,999,12511,0.00020078,2.908e-05,0
STARLINK-4034,2022-053AW,2024-08-16T19:44:49.021440,15.08843324,0.0001126,53.2151,186.9959,79.3621,280.7498,0,U,52700,999,12465,0.000139,1.925e-05,0
STARLINK-4003,2022-053AX,2024-08-16T03:50:21.289632,15.0884662,0.0001021,53.2146,175.3295,91.5898,268.5211,0,U,52701,999,12518,0.00028813,4.302e-05,0
STARLINK-4033,2022-053AY,2024-08-16T04:33:25.406496,15.08842656,0.000172,53.2149,190.2228,82.7468,277.372,0,U,52702,999,12496,3.9745e-05,3.45e-06,0
STARLINK-4020,2022-053AZ,2024-08-16T03:34:27.647040,15.08853175,0.0001425,53.2148,175.3937,90.6053,269.5102,0,U,52703,999,12390,7.3077e-05,8.76e-06,0
STARLINK-3999,2022-053BA,2024-08-16T03:55:39.441216,15.08832909,0.000121,53.2157,175.3118,111.9972,248.1148,0,U,52704,999,12518,0.00022312,3.264e-05,0
STARLINK-3844,2022-053BB,2024-08-16T03:39:46.363680,15.08851385,0.000147,53.2155,175.3657,93.7673,266.3488,0,U,52705,999,12518,0.00050286,7.727e-05,0
STARLINK-3970,2022-053BC,2024-08-16T03:45:03.581280,15.08835969,0.0001292,53.2147,175.3466,101.489,258.6248,0,U,52706,999,12518,0.00014442,2.011e-05,0
STARLINK-4007,2022-053BD,2024-08-16T20:42:29.118528,15.08859222,0.0001434,53.2144,172.0546,86.1777,273.9379,0,U,52707,999,12487,5.4303e-05,5.77e-06,0
STARLINK-3962,2022-053BE,2024-08-16T04:16:50.979648,15.08836645,0.0001486,53.2158,175.2379,80.7387,279.3774,0,U,52708,999,12539,0.00025808,3.821e-05,0
COSMOS 2556,2022-054A,2024-08-16T20:18:30.326112,15.23916261,0.0012467,97.5625,158.6667,10.9587,349.1919,0,U,52713,999,12470,0.0005351,0.00012893,0
OBJECT A,2022-056A,2024-08-16T19:58:48.650592,14.03964872,0.0017486,86.0064,319.0115,297.063,62.8764,0,U,52716,999,11495,0.00056679,9.14e-06,0
OBJECT B,2022-056B,2024-08-16T19:36:31.019616,13.29574395,0.0046175,86.0111,358.7394,63.2265,297.3585,0,U,52717,999,10936,0.00017251,9.6e-07,0
OBJECT C,2022-056C,2024-08-16T20:04:25.435200,14.03968615,0.0013354,86.0064,319.0134,289.4326,70.5409,0,U,52718,999,11495,0.00055032,8.88e-06,0
PTD-3 (TYVAK-0125),2022-057C,2024-08-16T19:29:08.286144,15.8542751,0.0009101,97.5458,13.8809,224.405,135.6491,0,U,52734,999,12493,0.00138,0.00341518,0
OP15 FLT2 (TYVAK-0821),2022-057D,2024-08-16T19:03:55.142208,15.79379012,0.0008537,97.558,4.7776,274.437,85.5921,0,U,52735,999,12433,0.0024271,0.00459988,0
GHGSAT-C3,2022-057F,2024-08-16T18:35:53.095776,15.20936792,0.0007,97.5807,349.2482,322.9013,37.1737,0,U,52737,999,12328,0.00067818,0.00014967,0
PLANETUM1,2022-057G,2024-08-16T13:57:07.944480,15.48834072,0.0005675,97.5695,358.2035,283.7039,76.3579,0,U,52738,999,12389,0.0020679,0.00112654,0
CONNECTA T1.1,2022-057H,2024-08-16T19:02:24.185472,15.27980314,0.0007017,97.5844,352.2544,314.8474,45.2194,0,U,52739,999,12345,0.001218,0.0003331,0
OP15 FLT1 (TYVAK-0820),2022-057K,2024-08-16T20:22:24.187584,15.72044604,0.0008582,97.5716,4.425,277.8837,82.1452,0,U,52741,999,12425,0.0023347,0.00316557,0
CENTAURI-5 (TYVAK-0212),2022-057L,2024-08-16T07:49:44.043744,15.70644417,0.0005399,97.5703,6.9746,243.8621,116.2086,0,U,52742,999,12442,0.0016647,0.00209987,0
OBJECT M,2022-057M,2024-08-16T19:23:41.533440,15.50579534,0.0006109,97.5699,359.0601,278.8099,81.246,0,U,52743,999,12396,0.0020532,0.00119023,0
GHGSAT-C5,2022-057N,2024-08-16T21:11:28.254624,15.20958471,0.0008199,97.5885,350.1598,318.5116,41.5496,0,U,52744,999,12330,0.00067105,0.00014821,0
GHGSAT-C4,2022-057Q,2024-08-16T19:04:40.140192,15.20933966,0.0007185,97.5743,348.7314,307.8014,52.257,0,U,52746,999,12329,0.00067471,0.00014889,0
NUSAT-28 (ALICE LEE),2022-057R,2024-08-16T18:57:44.834400,15.27977623,0.0006946,97.4638,349.137,245.3308,114.7208,0,U,52747,999,12394,0.0013669,0.00037409,0
NUSAT-30 (MARGHERITA),2022-057S,2024-08-16T17:13:36.344928,15.53431966,0.0003679,97.4094,351.0066,211.7701,148.333,0,U,52748,999,12450,0.0016859,0.00107986,0
CARCARA 1 (ICEYE-X18),2022-057T,2024-08-16T19:08:41.362080,15.3292864,0.0010199,97.5665,352.9925,261.6164,98.3922,0,U,52749,999,12357,0.0018798,0.00060205,0
OBJECT V,2022-057V,2024-08-16T18:54:59.120064,15.21606496,0.0007232,97.5802,349.7276,304.6664,55.3889,0,U,52751,999,12333,0.00066788,0.00015031,0
